Date,Traditional,Multifactor,Defensive
2013-08-31,-0.01707507045099116,-0.021097436569549443,-0.01930270600698398
2013-09-30,0.037559963274767696,0.023111194056815432,0.023448814837672603
2013-10-31,0.027239794376382825,0.0336135407841336,0.0321150016648795
2013-11-30,0.00831051667114802,0.016160530167929163,0.01530104673341549
2013-12-31,0.01030100188406334,0.010475017462279773,0.008659173913508325
2014-01-31,-0.022287572038425144,-0.013600237663990298,-0.016255692069211937
2014-02-28,0.032733835766457955,0.033504884040941145,0.029347730966981553
2014-03-31,0.0029133176465845857,-0.006876455516512514,0.0005660306991427056
2014-04-30,0.010454833422322707,0.0054607878170041865,0.009549027540077332
2014-05-31,0.01675070818116186,0.01980276436024068,0.015143249073136201
2014-06-30,0.01071556167540579,0.007649724866407367,0.00526970854564228
2014-07-31,-0.00974235783437098,-0.007497601308167459,-0.0075695246771710755
2014-08-31,0.020055948581157862,0.030451265824156207,0.029575678096686354
2014-09-30,-0.02244510820028267,-0.006910640899093826,-0.00713710932320802
2014-10-31,0.011484366169985907,0.022804807366399414,0.025147111881857996
2014-11-30,0.01088167524862768,0.02183600256068438,0.02018336886382873
2014-12-31,-0.013598407449302245,-0.0020978497006194727,-0.0009837425668594007
2015-01-31,0.0004591671110178875,0.0022562006373676134,0.0014183045440777555
2015-02-28,0.02947139427202326,0.026611405058957142,0.02541726334564944
2015-03-31,-0.007542023842213494,-0.0054682674962970995,-0.005688836946362304
2015-04-30,0.016239559416610216,-0.004198599310777718,-0.0024895236306431826
2015-05-31,-0.0017498355151635203,0.010069587535681879,0.005888823619682618
2015-06-30,-0.019792695719939753,-0.013126112991637478,-0.01657651181891976
2015-07-31,0.0083950083849089,0.024967269750462227,0.024171403841269656
2015-08-31,-0.042183995030416956,-0.03323383628673228,-0.03117505139690608
2015-09-30,-0.016688443503006595,-0.004093655648763512,-0.0022971513056211598
2015-10-31,0.04418708276322981,0.04287730380966023,0.042981831937588595
2015-11-30,-0.004759372056248681,-3.674892089390006e-05,-0.0008753105483218002
2015-12-31,-0.013394555465688915,-0.0034767879762321375,-0.0044315629868326555
2016-01-31,-0.026526380866982852,-0.014655102795266413,-0.012975363520821556
2016-02-29,-0.003943382900877319,0.0042817368655440995,0.008478287011504
2016-03-31,0.0475311001655848,0.03771959658716367,0.039007360272309784
2016-04-30,0.009153642317549032,-0.001817922531463215,-0.001334216947094262
2016-05-31,0.0020608468440031203,0.010249784054595682,0.00799625833075431
2016-06-30,0.007427313854232341,0.023643259333836833,0.022705388490003996
2016-07-31,0.02467163964196521,0.016622740268547223,0.015699885538562754
2016-08-31,0.0011948292353786002,-0.008209636168475521,-0.007409421770899719
2016-09-30,0.005854664603571593,-0.00029783452820209943,-0.0020184986645270025
2016-10-31,-0.014778556973160406,-0.016680087793792778,-0.01758348284660449
2016-11-30,-0.0040521113867250606,-0.0042059540929938405,0.0006016301093397878
2016-12-31,0.012938401018351219,0.012225148284175258,0.014490413439181725
2017-01-31,0.01863476572111196,0.012098431280585907,0.008253381005343651
2017-02-28,0.01766011734690218,0.028644621971165442,0.030288514556031047
2017-03-31,0.00791483103507565,0.004083845344818732,2.102564714175824e-05
2017-04-30,0.013356924481601,0.01291767283540155,0.009704532266482189
2017-05-31,0.01600275962445216,0.01926407380478734,0.013226146512121199
2017-06-30,0.004678521261311411,0.0010528144873146877,0.0005538492335043466
2017-07-31,0.017867926127016785,0.014557055514877692,0.0104989760667992
2017-08-31,0.00617295300933864,0.009154845504078461,0.00744644487103218
2017-09-30,0.008962587880958727,0.009672872030546262,0.007192293523667518
2017-10-31,0.013388095497738086,0.020475517503237107,0.015110423191498391
2017-11-30,0.01152628776933318,0.0183611198035496,0.01945028164974849
