,CAGR,Total Return,Volatility,Sharpe,Sortino,Max Drawdown
Traditional,0.06528301069387354,1.0585373917019623,0.09441666883279737,0.7185091478960556,1.0628290800135742,-0.21332997585895774
Multifactor,0.08409294751532759,1.5138696827723601,0.09090780758012378,0.936419224152708,1.3463469025399073,-0.20272222988999183
Defensive,0.08045684193139313,1.419272323736116,0.0889120023044061,0.9173812048748193,1.316152732360551,-0.19436967819949638
