Date,ACWI,AGG,MTUM,QUAL,USMV
2013-07-18,41.03593063354492,76.09388732910156,46.5559196472168,41.66907501220703,26.586593627929688
2013-07-19,41.05937576293945,76.29253387451172,46.76239013671875,41.345035552978516,26.649431228637695
2013-07-22,41.207763671875,76.3919448852539,46.8226203918457,41.54444885253906,26.657283782958984
2013-07-23,41.25463104248047,76.34937286376953,46.74518966674805,41.47794723510742,26.62586784362793
2013-07-24,41.090606689453125,76.10102081298828,46.58171463012695,41.419803619384766,26.45306968688965
2013-07-25,41.19995880126953,76.12936401367188,46.9344596862793,41.635826110839844,26.555179595947266
2013-07-26,41.12965393066406,76.10809326171875,47.04631423950195,41.436424255371094,26.610166549682617
2013-07-29,40.910972595214844,76.10809326171875,46.97749328613281,41.585975646972656,26.570894241333008
2013-07-30,40.83285903930664,76.07972717285156,46.882869720458984,41.75214767456055,26.602310180664062
2013-07-31,40.84067153930664,76.13648986816406,46.8398323059082,41.644142150878906,26.523773193359375
2013-08-01,41.41083908081055,75.70639038085938,47.23561477661133,41.644142150878906,26.71226692199707
2013-08-02,41.53580093383789,75.96226501464844,47.45930862426758,42.14267349243164,26.71226692199707
2013-08-05,41.473304748535156,75.99784088134766,47.321651458740234,42.15099334716797,26.688705444335938
2013-08-06,41.23119354248047,75.9196548461914,47.149574279785156,41.926639556884766,26.618017196655273
2013-08-07,41.05937576293945,76.01914978027344,46.97749328613281,41.75214767456055,26.523773193359375
2013-08-08,41.395233154296875,76.12582397460938,47.029109954833984,41.95157241821289,26.62586784362793
2013-08-09,41.37959671020508,76.17560577392578,46.908660888671875,41.86017608642578,26.570894241333008
2013-08-12,41.348358154296875,76.12582397460938,46.77960205078125,41.727237701416016,26.5316219329834
2013-08-13,41.55923843383789,75.82012939453125,46.8226203918457,41.976497650146484,26.50020408630371
2013-08-14,41.44989013671875,75.72061157226562,46.43545150756836,41.693992614746094,26.366689682006836
2013-08-15,41.00469207763672,75.4504165649414,45.63528823852539,41.095760345458984,26.01324462890625
2013-08-16,40.95002365112305,75.23713684082031,45.420169830322266,40.97943878173828,25.856151580810547
2013-08-19,40.61417007446289,75.00254821777344,45.34273910522461,40.92957305908203,25.73048973083496
2013-08-20,40.66102600097656,75.2229232788086,45.566444396972656,41.25361633300781,25.903278350830078
2013-08-21,40.27051544189453,74.94570922851562,45.25669860839844,41.22869110107422,25.746192932128906
2013-08-22,40.629791259765625,75.03811645507812,45.60947036743164,41.54444885253906,25.87972068786621
2013-08-23,40.88753128051758,75.28691864013672,45.73853302001953,41.51121139526367,26.021099090576172
2013-08-26,40.6922721862793,75.42196655273438,45.643890380859375,41.453041076660156,25.89542579650879
2013-08-27,40.012779235839844,75.62104797363281,44.9899787902832,40.788330078125,25.651939392089844
2013-08-28,40.05181884765625,75.47885131835938,45.08461380004883,40.93788146972656,25.65980339050293
2013-08-29,40.12211227416992,75.62821960449219,45.31694412231445,41.03759002685547,25.70693016052246
2013-08-30,39.90341567993164,75.50729370117188,45.17067337036133,40.7800178527832,25.65980339050293
2013-09-03,40.301753997802734,75.3207015991211,45.42878341674805,40.95450973510742,25.620527267456055
2013-09-04,40.653221130371094,75.21385192871094,45.60086441040039,41.30348205566406,25.73048973083496
2013-09-05,40.731327056884766,74.70817565917969,45.54925537109375,41.353336334228516,25.683372497558594
2013-09-06,40.864112854003906,74.98594665527344,45.5922737121582,41.56105422973633,25.746192932128906
2013-09-09,41.37178421020508,75.13551330566406,45.91920471191406,41.793704986572266,25.950408935546875
2013-09-10,41.75448989868164,75.0002212524414,46.237548828125,42.034664154052734,26.115354537963867
2013-09-11,41.90288543701172,75.256591796875,46.349403381347656,42.18423080444336,26.225311279296875
2013-09-12,41.6920166015625,75.1711196899414,46.4526481628418,42.23406982421875,26.162473678588867
2013-09-13,41.832603454589844,75.2779769897461,46.676368713378906,42.342079162597656,26.264570236206055
2013-09-16,42.12939453125,75.43466186523438,47.003318786621094,42.4085693359375,26.405948638916016
2013-09-17,42.230926513671875,75.50585174560547,47.11515808105469,42.64120101928711,26.4844913482666
2013-09-18,43.09008026123047,76.13981628417969,47.683013916015625,43.20620346069336,26.924335479736328
2013-09-19,42.9729118347168,76.04724884033203,47.67441177368164,43.264366149902344,26.86149787902832
2013-09-20,42.699546813964844,76.04724884033203,47.37327194213867,43.089881896972656,26.680849075317383
2013-09-23,42.5980224609375,76.10420989990234,47.05492401123047,42.857234954833984,26.610166549682617
2013-09-24,42.51210403442383,76.28224182128906,46.885658264160156,42.724700927734375,26.540483474731445
2013-09-25,42.44180679321289,76.38911437988281,46.65249252319336,42.549617767333984,26.445480346679688
2013-09-26,42.590206146240234,76.37487030029297,46.84247970581055,42.791378021240234,26.540483474731445
2013-09-27,42.41056823730469,76.41755676269531,46.81657409667969,42.599639892578125,26.429643630981445
2013-09-30,42.113773345947266,76.35350036621094,46.53158187866211,42.33285903930664,26.310869216918945
2013-10-01,42.45743179321289,76.29708862304688,46.9288330078125,42.54128646850586,26.49297523498535
2013-10-02,42.44180679321289,76.3969955444336,46.95475387573242,42.60797119140625,26.397964477539062
2013-10-03,42.14501190185547,76.45405578613281,46.50566101074219,42.299530029296875,26.184181213378906
2013-10-04,42.37150955200195,76.3898696899414,46.84247970581055,42.49126434326172,26.30295181274414
2013-10-07,42.01224136352539,76.37557220458984,46.54021453857422,42.166141510009766,26.136676788330078
2013-10-08,41.59047317504883,76.33991241455078,45.935672760009766,41.51588821411133,25.954565048217773
2013-10-09,41.660770416259766,76.2828369140625,45.76297378540039,41.54924774169922,25.970409393310547
2013-10-10,42.51210403442383,76.36846160888672,46.60930633544922,42.149471282958984,26.421720504760742
2013-10-11,42.769840240478516,76.3969955444336,47.144737243652344,42.51628494262695,26.580087661743164
2013-10-14,42.902618408203125,76.25428771972656,47.291561126708984,42.84138488769531,26.643413543701172
2013-10-15,42.676124572753906,76.21857452392578,47.11018753051758,42.574623107910156,26.445480346679688
2013-10-16,43.10569381713867,76.54682159423828,47.87882614135742,43.13316345214844,26.888864517211914
2013-10-17,43.519657135009766,76.7608413696289,48.47471237182617,43.29990768432617,27.16599464416504
2013-10-18,43.761783599853516,76.8893051147461,48.73379898071289,43.71672058105469,27.22932243347168
2013-10-21,43.79301071166992,76.8179702758789,48.53517532348633,43.80009460449219,27.2134952545166
2013-10-22,44.12105941772461,77.08911895751953,49.131065368652344,43.96685028076172,27.47478675842285
2013-10-23,43.78520584106445,77.06771087646484,48.99287796020508,43.91679763793945,27.427284240722656
2013-10-24,43.94921875,77.0391616821289,49.061981201171875,44.04186248779297,27.451032638549805
